nombre,cluster,calorias,proteina,grasa_total,carbohidratos,fibra
"Galletas saladas, sin sal, simples, tostadas melba",2,390,12.1,3.2,76.6,6.3
"Nueces, ligeramente saladas, tostadas en aceite, almendras",9,607,21.23,55.0,17.68,10.5
"Pescado, calor seco, cocido, especies mixtas, huevas",7,204,28.62,8.2,1.92,0.0
"Papillas con calcio, ponche de frutas, zumo.",0,52,0.2,0.1,12.7,0.4
"McDONALD'S, galleta de pollo estilo sureño",14,304,11.93,15.0,30.56,1.4
"Keebler, corteza de pastel de mantequilla, corteza lista",6,502,4.4,23.0,69.1,1.3
"Papillas coladas, judías verdes y pavo",0,51,4.1,1.5,5.35,1.4
"Alimentos para bebés, instantáneos, secos, arroz integral, cereales",2,406,8.7,3.0,85.98,6.5
"Arroz, no enriquecido, crudo, de grano medio, blanco",18,360,6.61,0.6,79.34,0.0
"Pasta, cocida, espinacas, fresca refrigerada",0,130,5.06,0.9,25.04,0.0
"Restaurante, pollo del general tso, chino",14,295,12.9,16.0,23.99,0.9
"Pollo, crudo, sólo carne, gallinas de Cornualles",13,116,20.04,3.3,0.0,0.0
"WENDY'S, Sándwich casero de filete de pollo",14,214,13.78,8.1,21.55,1.3
"Nueces, agua de coco (líquido del coco)",0,19,0.72,0.2,3.71,1.1
"Sopa, preparada con agua, mezcla, seca, cebolla",0,12,0.32,0.0,2.77,0.3
"Papillas coladas, pastel de durazno, postre",0,65,0.3,0.0,17.8,0.7
"Pan tostado (incluye gluten), proteínas",10,270,13.2,2.4,48.1,3.3
"Arroz, TÍO BENS, cocido, sancochado, integral",10,147,3.09,0.9,31.33,1.7
"Leche de soja, sin fortificar, original y vainilla",0,54,3.27,1.8,6.28,0.6
"OSCAR MAYER, Pechuga De Pollo (glaseada Con Miel)",13,109,19.85,1.5,4.3,0.0
"PEPPERIDGE FARM, pan de masa madre de granja",10,269,0.01,3.5,50.3,1.6
"Barra desayunadora, corteza de hojuelas de maíz con fruta",18,377,4.4,7.5,72.9,2.1
"Snacks, salados, a base de trigo, palitos de sésamo",6,541,10.9,37.0,46.5,2.8
"Cereales listos para comer, KASHI Honey Sunshine",19,332,7.8,4.1,82.0,17.9
"Aperitivos, con chispas de chocolate, duros, barras de granola",6,438,7.3,16.0,72.1,4.4
"Pollo, cocido a fuego lento, cocido, menudencias, capones",7,164,26.39,5.4,0.76,0.0
"Sopa, condensada, enlatada, pollo y verduras",0,61,2.94,2.3,7.01,0.7
"Sopa, condensada, enlatada, pollo con arroz",0,68,1.84,1.6,11.57,0.9
"Chips de tortilla, horneados sin grasa, bajos en grasa",2,415,11.0,5.7,80.0,5.3
"Carne de res, cruda, 70% carne magra / 30% grasa, molida",1,332,14.35,30.0,0.0,0.0
"Pastel, preparado comercialmente, merengue de limón",10,268,1.5,8.7,47.2,1.2
"Sopa, condensada, en lata, crema de champiñones",0,79,1.35,5.3,6.8,0.7
"CAMPBELL'S Sopas bajas en sodio, caldo de pollo",0,10,1.01,0.3,0.34,0.0
"Cereales listos para comer, KASHI GOLEAN CRUNCH!",19,367,16.7,5.9,71.4,14.5
"Moluscos, calor húmedo, cocidos, azul, mejillón",13,172,23.8,4.5,7.39,0.0
"Galletas caseras ARCHWAY, avena con pasas",18,406,5.17,12.0,69.27,2.7
"Panqueques, incompletos, mezcla seca, trigo integral",2,350,10.53,1.3,74.11,7.9
"Chitón, botas de agua (nativos de Alaska), coriáceas",13,83,17.1,1.6,0.0,0.0
"Yogur, CHOBANI, fresa, sin grasa, griego",0,80,8.03,0.1,11.62,0.7
"Comidas rápidas, salchichas, sándwich de pastel a la plancha.",14,318,8.41,18.0,31.25,1.0
"Ternera, cruda, parte magra y grasa, solomillo",13,152,19.07,7.8,0.0,0.0
"Ballena, seca (Nativa de Alaska), carne, beluga",15,327,69.86,5.3,0.0,0.0
"Bebidas, malta de chocolate en polvo, OVALTINE",18,372,0.0,0.0,92.96,0.0
"Snacks, multicereales, arroz integral, tortas de arroz.",18,387,8.5,3.5,80.1,3.0
"McDONALD'S, McGRIDDLES de huevo y queso, tocino",14,272,12.03,13.0,26.19,0.8
"Snacks, simples, conos, extruidos, a base de maíz",6,510,5.8,27.0,62.9,1.1
"Snacks, sabor cebolla, extruidos, a base de maíz",6,499,7.7,23.0,65.1,3.9
"Snacks, naturales, chips, extruidos, a base de maíz",6,538,6.17,33.0,56.9,4.0
"MURRAY, galletas de avena heladas a la antigua usanza",6,459,5.0,18.0,71.0,1.7
"Fideos, restaurante chino, crujientes, planos.",6,521,10.33,32.0,51.9,1.9
"Cebollas, con sal, escurridas, hervidas y cocidas",0,42,1.36,0.2,9.56,1.4
"Carne de caza, cruda, sólo magro separable, bisonte",13,109,21.62,1.8,0.0,0.0
"Carne de caza, cruda, compuesta de cortes, beefalo",13,143,23.3,4.8,0.0,0.0
"Semillas, sin sal, mantequilla de semillas de girasol.",9,617,17.28,55.0,23.32,5.7
"Keebler, Mini, Rayas Fudge, FUDGE SHOPPE",6,497,4.2,23.0,68.7,1.8
"Patatas, con sal, carne y piel, al horno",0,93,2.5,0.1,21.15,2.2
"Carne de res, cruda, 75% carne magra / 25% grasa, molida",1,293,15.76,25.0,0.0,0.0
"Nata, presurizada, cobertura de nata, batida",14,257,3.2,22.0,12.49,0.0
Sopa casera de mezcla de verduras CAMPBELL'S,0,37,1.22,0.2,7.35,1.2
"Pasta, con sal añadida, no enriquecida, cocida",10,157,5.8,0.9,30.59,1.8
"Apio, con sal, escurrido, hervido, cocido",0,18,0.83,0.2,4.0,1.6
"Alimentos para bebés, secos, con plátanos, mixtos, cereales",2,391,10.7,4.6,77.1,7.8
"Bola de masa, congelada, rellena de patatas o queso",10,195,5.26,6.1,29.64,0.9
"Sustituto de huevo, sin grasa, líquido o congelado",0,48,10.0,0.0,2.0,0.0
"Bebidas, Arándano rojo rubí, OCEAN SPRAY",0,45,0.07,0.0,11.58,0.6
"Comidas rápidas, con huevo y queso, croissant.",14,304,10.07,19.0,22.45,0.0
"LOMA LINDA Vege-Burger, sin preparar, enlatada",13,114,22.2,1.2,3.7,2.6
"LOMA LINDA Redi-Burger, sin preparar, enlatada",13,146,21.9,2.8,8.2,4.3
"LOMA LINDA Tender Bits, sin preparar, enlatados",12,135,15.1,4.6,8.3,4.3
"Comidas rápidas, con frijoles y queso, burrito.",10,205,7.35,6.1,31.23,4.2
"Bebida alcohólica, BUD LIGHT, light, cerveza",0,29,0.25,0.0,1.3,0.0
"WORTHINGTON Veja-Links, sin preparar, enlatados",13,155,14.6,8.9,4.1,3.3
"WORTHINGTON Chic-Ketts, sin preparar, congelados",7,200,23.6,9.7,5.1,1.2
"Carne de res, cruda, 80% carne magra / 20% grasa, molida",11,254,17.17,20.0,0.0,0.0
"Batata, sin piel, hervida, cocida",0,76,1.37,0.1,17.72,2.5
"Keebler, galletas de mantequilla de nueces y nueces, SANDIES",6,541,5.0,32.0,59.0,1.9
"Aceite, foca barbuda (Oogruk) (Nativo de Alaska)",16,899,0.56,100.0,0.0,0.0
"CAMPBELL'S, V8 orgánico, jugo de vegetales V8",0,20,0.41,0.0,4.53,0.8
"Keebler, vacaciones, galletas de media luna de almendras",6,482,5.1,21.0,70.1,1.6
"Restaurante, camarones y verduras, chino.",0,78,5.9,4.1,4.52,1.4
"PETICIÓN SALUDABLE, condensada, Sopa de Verduras",0,79,3.17,0.8,15.87,2.4
"Galletas, masa refrigerada, mantequilla de maní",6,458,8.2,25.0,52.1,1.1
"Arroz, cocido, enriquecido, de grano corto, blanco",0,130,2.36,0.2,28.73,0.0
"Arroz, cocido, no enriquecido, glutinoso, blanco",0,97,2.02,0.2,21.09,1.0
"Caramelos, TWIZZLERS Caramelo Twists de Fresa",18,348,2.56,2.3,79.16,0.0
"Almíbares, con mantequilla, para panqueques, mezclas de mesa",18,291,0.0,0.1,72.43,0.0
"Panqueques, preparados a partir de receta, suero de leche",14,227,6.8,9.3,28.7,0.0
"Cereales listos para comer, KASHI INDIGO MORNING",2,364,7.7,3.4,82.8,7.1
"Papillas, coladas, yogur de plátano, postre",0,78,1.1,0.5,17.35,0.5
"Comidas rápidas, empanadas y fritas, aros de cebolla.",6,411,3.86,25.0,43.58,2.7
"Pescado, calor seco, cocido, especies mixtas, anguila",11,236,23.65,15.0,0.0,0.0
"PEPPERIDGE FARM, pan de avena integral",19,258,0.01,3.7,46.5,9.8
"Frijoles, crudos, germinados, semillas maduras, riñón",0,29,4.2,0.5,4.1,0.0
"Salsa, refrigerada, lista para servir, pesto",1,418,9.83,38.0,10.09,1.8
"Salsa, estable en almacenamiento, lista para servir, pesto",1,426,5.0,42.0,6.14,1.7
"CAMPBELL'S, condensada, sopa de queso cheddar",0,84,0.8,3.9,11.44,2.2
"Pescado, calor seco, cocido, Atlántico, caballa",11,262,23.85,18.0,0.0,0.0
"Tarta de queso preparada a partir de mezcla, tipo sin hornear",10,274,5.5,13.0,35.5,1.9
"Jugo de toronja, endulzado, en lata, blanco",0,46,0.58,0.1,11.13,0.1
"MADRE, Galletas de animales de circo de Halloween",6,514,3.8,25.0,68.1,0.8
"Remolachas, sólidos y líquidos, en lata, encurtidas",0,65,0.8,0.1,16.28,0.8
"Remolacha, solidos y liquidos, enlatados, harvard",0,73,0.84,0.1,18.18,2.5
"Caramelos ricos en vitamina C, snacks de frutas.",18,352,0.08,0.0,87.97,0.0
"MURRAY, Galletas con chispas de chocolate, SIN AZÚCAR",6,469,5.6,27.0,63.6,4.8
"Panqueques, incompletos, mezcla seca, integrales",18,344,12.8,1.5,71.0,0.0
"Cereales Secos, Avena Rápida con Hierro, QUAKER",19,371,13.7,6.9,68.18,9.4
"Pollo, crudo, piel (muslos y muslos)",1,440,9.58,44.0,0.79,0.0
"Nueces, sin pelar, secas, europeas, castañas",19,374,6.39,4.5,77.31,11.7
"Jugo de lima, sin azúcar, enlatado o embotellado",0,21,0.25,0.2,6.69,0.4
"Glaseados, listos para comer, cremosos, chocolate",6,397,1.1,18.0,63.2,0.9
"Waffles, listos para calentar, congelados, suero de leche",10,273,6.58,9.2,41.05,2.2
"Tofu, preparado con sulfato de calcio, frito",11,270,18.82,20.0,8.86,3.9
"Cereales listos para comer, CAP'N CRUNCH, QUAKER",18,398,4.39,5.1,85.51,2.5
"Keebler, galletas tipo sándwich de queso y trigo",6,499,8.4,25.0,59.8,1.8
"Cereales, secos, naturales, originales, MALT-O-MEAL",18,365,11.8,0.7,77.25,2.1
"Tiras de pollo, preparadas, congeladas, empanizadas",14,240,14.62,14.0,14.86,1.7
"Mango de frijol negro KASHI, sin preparar, congelado",12,115,3.0,3.0,18.0,6.0
"Champiñones, crudos o crimini, italianos, marrones",0,22,2.5,0.1,4.3,0.6
"Helados, sin azúcar añadido, light, vainilla",0,169,3.97,7.5,21.42,0.0
"Bebida de malta, incluye cerveza sin alcohol.",0,37,0.21,0.1,8.05,0.0
"Carne de caza, asada, cocida, agua, búfala",7,131,26.83,1.8,0.0,0.0
"CAMPBELL'S, condensada, sopa de carne con verduras",0,65,3.79,0.3,11.8,2.1
"Vitasoy USA, Leche de soya ligera de vainilla Vitasoy",0,30,1.6,0.8,4.1,0.1
"Bebidas, mezclas para desayuno, elaboradas, café.",0,2,0.3,0.0,0.23,0.0
"Pastel, dulce de cerezas con glaseado de chocolate",10,264,2.4,13.0,38.0,0.5
"Alimentos para bebés, secos, con miel, avena, cereales.",18,391,13.5,7.0,69.3,0.0
"Papillas para bebés, coladas, con yemas de huevo, cereales",0,51,1.9,1.8,7.0,0.9
"Bebidas, Acai Berry, Zumos V8 V- FUSION",0,45,0.0,0.0,10.98,0.0
"Bebidas, Melocotón Mango, Zumos V8 V-FUSION",0,49,0.41,0.0,11.38,0.0
"Salsa, asado lento, pavo, FRANCOAMERICANO",0,42,1.69,0.9,6.78,0.0
"Pan piki, elaborado con harina de maíz azul (Hopi)",19,390,9.06,7.2,72.22,9.2
"KELLOGG'S, Galletas multicereales, ESPECIAL K",2,401,9.0,9.4,75.4,8.6
"Leche, sin vitamina D añadida, entera, seca",1,496,26.32,27.0,38.42,0.0
"Comidas rápidas, con huevo y salchicha, galleta.",14,312,11.13,21.0,21.05,0.2
"WORTHINGTON Saucettes, sin preparar, en lata",14,219,15.0,15.0,5.6,2.8
"Manzanas, hervidas, cocidas, sin piel, crudas",0,53,0.26,0.4,13.64,2.4
"Semillas, secas, enteras, sisymbrium sp. semillas",10,318,12.14,4.6,58.26,0.0
"WORTHINGTON Stripples, sin preparar, congelados",1,346,12.4,27.0,14.3,5.1
"Estacas WORTHINGTON, sin preparar, congeladas",13,211,19.7,10.0,9.6,2.8
"Pan, preparado comercialmente, integral.",10,252,12.45,3.5,42.71,6.0
"Cereales listos para comer, GUIJARROS DE CACAO, POSTE",18,397,4.8,4.1,85.7,1.6
"Keebler, galletas de trigo con miel, TRIGO",6,482,7.6,20.0,67.0,3.3
"Keebler, galletas de avena heladas, TRADICIONES",6,463,5.4,18.0,71.0,2.7
"Kielbasa, ahumado, pavo y ternera, polaco",14,226,13.1,18.0,3.9,0.0
"Bebida alcohólica, baja en carbohidratos, light, cerveza.",0,27,0.17,0.0,0.73,0.0
"Remolachas, con sal, hervidas. escurrido, cocido",0,44,1.68,0.2,9.96,2.0
"Galletas, horneadas, masa refrigerada, azúcar.",6,489,4.7,23.0,65.6,0.9
"Bebidas, proteína de soja en polvo EAS, ABBOTT",15,405,47.62,3.6,43.94,0.0
"GARDENBURGER Original, sin preparar, congelada",12,155,7.2,4.6,22.1,5.0
"Pescado, calor seco, cocido, Atlántico, abadejo",13,118,24.92,1.3,0.0,0.0
"MURRAY, Galletas De Avena, COCINA SUR",6,478,7.1,20.0,67.7,4.5
"Pan, tostado, salvado de avena, bajo en calorías",19,239,9.5,3.8,49.2,14.3
"Keebler, corteza de pastel de chocolate, corteza lista",6,490,5.1,22.0,67.7,1.8
"Bocadillos, chips de tortilla sin sal y bajos en grasa",2,416,11.0,5.7,80.1,5.3
"Filetes de pechuga de pollo, crudos, empanizados",14,263,14.73,16.0,15.01,1.1
"SOL, galletas Scrabble Jr., CHEEZ-IT",6,466,10.9,17.0,67.9,2.6
"Leche, baja en grasa, cultivada, líquida, suero de leche",0,40,3.31,0.9,4.79,0.0
"Frijoles, crudos, germinados, semillas maduras, pintos",0,62,5.25,0.9,11.6,0.0
"Gandules (gramo rojo), semillas crudas y maduras",8,343,21.7,1.5,62.78,15.0
"Galleta de desayuno con salchicha, huevo y queso",14,324,9.54,22.0,21.57,2.0
"SUNSHINE, galletas Cheddar Jack, CHEEZ-IT",6,460,9.5,22.0,57.6,2.4
"Muffins, tostados, tipo tostadora, arándanos",10,333,4.9,10.0,56.7,1.9
"Coliflor, sin sal añadida, cocida, verde",0,32,3.04,0.3,6.28,3.3
"TGI FRIDAY'S, empanizado, Camarones FRIDAY'S",14,302,11.87,19.0,20.87,0.0
"Verduras, sólidos escurridos, enlatados, mixtos",0,49,2.59,0.3,9.26,3.0
Salsa de soja elaborada con soja y trigo (shoyu),0,53,8.14,0.6,4.93,0.8
"Pescado, calor seco, cocido, español, caballa",13,158,23.59,6.3,0.0,0.0
"Bebidas listas para beber, Ponche Tropical",0,10,0.0,0.0,2.5,0.0
"Urogallo, crudo, sin piel, carne de pechuga",13,112,25.94,0.9,0.0,0.0
"Producto del USDA, mezcla de harina baja en grasa, panadería",18,361,9.07,4.7,70.59,3.5
"Chili con carne con frijoles, plato principal enlatado",12,107,5.8,3.5,13.1,3.3
"Bebidas alcohólicas, alto contenido de alcohol, cerveza.",0,58,0.9,0.0,0.27,0.0
"Bocadillos, sin grasa, rellenos de fruta, barra de granola",2,342,5.9,0.9,77.6,7.4
"Papillas, junior, pavo y arroz, cena",0,56,2.37,0.9,9.57,1.0
"Pavo molido, asado, hamburguesas, sin grasa",7,138,28.99,2.5,0.0,0.0
"MURRAY, Galletas de mantequilla de maní, SIN AZÚCAR",6,505,9.5,31.0,55.8,5.7
"KELLOGG'S, chispas de chocolate, panqueques, EGGO",10,253,5.5,8.2,39.9,1.3
"Helados, 98% Vainilla Sin Grasa, BREYERS",12,137,3.3,2.2,30.51,5.4
"Budines, sin grasa, listos para comer, tapioca",0,94,1.44,0.4,21.31,0.0
"Budines, sin grasa, listos para comer, vainilla",0,89,2.02,0.0,20.16,0.0
"FAMOSOS AMOS, galletas de nueces y nueces con chispas de chocolate",6,519,5.8,27.0,63.8,3.3
"Galletas, elaboradas con cereal de arroz, chocolate.",6,440,3.23,19.0,63.26,1.6
"Aceitunas verdes, enlatadas o embotelladas, encurtidas",0,145,1.03,15.0,3.84,3.3
"Bebidas, Limonada, Limonada, MINUTE MAID",0,50,0.0,0.0,13.75,0.0
"Caribú, crudo (Nativo de Alaska), médula ósea",16,786,6.7,84.0,0.0,0.0
"Caramelos, Caramelos Masticables BIT-O'-HONEY, NESTLE",18,375,2.0,7.5,80.89,0.2
"Confituras, azúcar reducida, mermeladas, conservas",10,151,0.0,0.1,37.6,1.5
"Calabaza, con sal, al horno, hubbard, de invierno",12,50,2.48,0.6,10.81,4.9
"Salsa, original, KC MASTERPIECE, barbacoa",10,160,1.0,0.5,37.92,1.4
"Salsa, mediana, queso y salsa, OLD EL PASO",0,129,2.7,8.4,10.65,0.6
"Pastel, preparado a partir de receta, merengue de limón.",10,285,3.8,13.0,39.1,0.0
"MURRAY, Galletas De Coco, COCINA SUR",6,511,5.7,26.0,65.5,3.0
"Pasta, cocida, hecha sin huevo, casera",0,124,4.37,1.0,25.12,0.0
"Pollo, crudo, menudencias, para asar o para freír",13,124,17.88,4.5,1.8,0.0
"Hojas de nabo, sólidas y líquidas, en lata",0,14,1.36,0.3,2.42,1.7
Escaramujos silvestres (indios de las llanuras del norte),5,162,1.6,0.3,38.22,24.1
"León marino, riñón (nativo de Alaska), Steller",13,93,18.1,1.7,1.4,0.0
"Carne de res, cruda, 95% carne magra / 5% grasa, molida",13,137,21.41,5.0,0.0,0.0
"Keebler, galletas saladas reducidas en grasa, CASA DE PUEBLO",18,431,6.6,11.0,77.1,2.2
"Caramelos, con mantequilla de maní, alveolares",6,486,8.72,20.0,67.41,1.9
"Galletas, masa refrigerada, cereales mixtos",10,263,6.1,5.6,47.4,0.0
"Galletas caseras ARCHWAY, melaza helada",18,420,3.5,14.0,69.12,1.0
"Arándanos, escurridos, en almíbar ligero, enlatados",0,88,1.04,0.4,22.66,2.6
"Ciruelas pasas, guisadas, deshidratadas (baja humedad)",0,113,1.23,0.2,29.7,0.0
Crema Agria Reducida en Grasa KRAFT BREAKSTONE,0,152,4.5,12.0,6.5,0.1
"Bebidas, bajas en carbohidratos, bebida energética MONSTER",0,5,0.0,0.0,1.38,0.0
"Maní, con sal, tostado en aceite, virginia",9,578,25.87,49.0,19.86,8.9
"Keebler, vacaciones, galletas de jengibre",18,444,4.9,13.0,77.9,2.1
"Cacahuetes con sal, tostados en aceite, valencia",9,589,27.04,51.0,16.3,8.9
"Hojaldre, horneado, listo para hornear, congelado",6,558,7.4,39.0,45.7,1.5
"Caramelos, HERSHEY'S POT OF GOLD Barra de Almendras",6,577,12.82,38.0,44.89,3.8
"Caramelos, con cereal de arroz, chocolate con leche.",6,511,7.64,29.0,59.67,3.3
"Caramelos, Barra MILKY WAY, MARS SNACKFOOD US",6,456,4.01,17.0,71.17,1.0
"Papillas, junior, vegetales mixtos, cena",0,34,1.01,0.1,7.88,1.0
"PIZZA HUT Pizza de queso de 14"" con masa rellena",14,274,12.23,12.0,30.0,1.7
"Budines, mezcla seca regular, crema de coco",18,434,1.0,11.0,81.84,1.6
"Pudines, instantáneos, mezcla seca, crema de coco",18,415,0.9,10.0,83.5,4.0
"Pavo, asado, cocido, sólo carne, entero",7,159,29.06,3.8,0.0,0.0
"Sopa, condensada, enlatada, crema de pollo",0,90,2.38,5.8,7.16,0.0
"Papillas, junior, frutas tropicales, postre.",0,60,0.2,0.0,16.4,0.0
"Masa de pastel, sin hornear, normal, refrigerada",6,445,2.97,25.0,51.11,1.8
"Calabaza de cera, cruda (melón chino en conserva)",0,13,0.4,0.2,3.0,2.9
"Carne de res, cruda, 93% carne magra / 7% grasa, molida",13,152,20.85,7.0,0.0,0.0
"Carne de res, cruda, 97% carne magra / 3% grasa, molida",13,121,21.98,3.0,0.0,0.0
"Pescado, calor seco, cocido, Atlántico, arenque",11,203,23.03,12.0,0.0,0.0
"Alimentos para bebés, secos, con plátanos, arroz, cereales.",18,404,8.7,4.2,79.9,1.0
"Cereales listos para comer, KASHI Berry Blossom",5,322,7.5,3.0,83.09,18.9
"Keebler, Keebler Chocolate Graham SELECCIONA",6,465,7.1,17.0,71.8,0.0
"Restaurante, tiras de pollo, estilo familiar.",11,302,18.88,17.0,19.29,0.9
"Macarrones con queso, aptos para microondas, enlatados",0,134,5.98,6.0,13.96,0.4
"MURRAY, galletas de jengibre a la antigua usanza",6,463,5.1,16.0,73.9,1.3
"Frijoles, enlatados, semillas maduras, tortuga negra",12,91,6.03,0.3,16.55,6.9
HORMEL Pillow Pak Pepperoni de pavo en rodajas,7,243,30.99,12.0,3.78,0.0
"Pescado seco (Nativo de Alaska), chum, salmón",15,378,62.09,14.0,0.0,0.0
"Panqueques, preparados según receta, arándanos",14,222,6.1,9.2,29.0,0.0
"Papillas, junior, judías verdes, verduras",0,24,1.2,0.1,5.8,1.9
"Sopa, lista para servir, enlatada, con trozos de carne",0,66,3.97,1.1,10.08,0.6
"Sopa, seca, en polvo, caldo de res o caldo",14,213,15.97,8.9,17.4,0.0
"Aperitivos, trigo sarraceno, arroz integral, pasteles de arroz.",18,380,9.0,3.5,80.1,3.8
"LOMA LINDA Big Franks, sin preparar, enlatados",11,218,21.5,12.0,5.8,3.5
"Carne de res, cocida, pechuga, carne en conserva, curada",11,251,18.17,19.0,0.47,0.0
"Aceite, ultra bajo en linolénico, soja, industrial.",16,884,0.0,100.0,0.0,0.0
"Galletas sándwich Keebler, Club y Cheddar",6,494,8.4,24.0,61.3,1.3
"Arándanos, congelados (Nativos de Alaska), silvestres",0,44,0.7,0.0,10.4,0.0
"Ballena, cruda (Nativa de Alaska), hígado, beluga",13,117,18.4,3.9,2.0,0.0
"Aceite alto oleico (70% y más), girasol",16,884,0.0,100.0,0.0,0.0
"Lasaña con salsa de carne, preparada, congelada",0,135,7.28,4.9,15.36,1.7
"Champiñones, sin sal, cocidos, shiitake",0,56,1.56,0.2,14.39,2.1
"Pan, multicereales (incluye cereales integrales)",12,265,13.36,4.2,43.34,7.4
"Keebler, galletas saladas con trigo integral, ZESTA",18,416,8.4,9.6,75.1,3.2
"Aderezo para ensaladas, sin grasa, parecido a la mayonesa",0,84,0.2,2.7,15.5,1.9
"Puerros, crudos (bulbo y parte inferior de la hoja)",0,61,1.5,0.3,14.15,1.8
"Sopa, condensada, en lata, pollo y champiñones",0,100,1.61,4.8,11.95,3.2
"Cereales listos para comer, RALSTON Corn Flakes",18,357,5.9,0.9,88.01,2.7
"Leche, con aceite de ácido láurico, líquida, rellena",0,63,3.33,3.4,4.74,0.0
"Aderezo para ensaladas, sin grasa, aderezo francés",0,132,0.2,0.3,32.14,2.2
"Frijoles, naturales o vegetarianos, enlatados, horneados",12,94,4.75,0.4,21.14,4.1
"Cereales listos para consumir, TRIX, GENERAL MILLS",18,384,4.9,3.8,86.19,3.9
"Galletas caseras ARCHWAY, mantequilla de maní",6,480,9.0,24.0,58.48,2.8
"Pastel, preparado comercialmente, crema de coco",10,298,2.1,17.0,37.3,1.3
"Mantequilla de maní, sin sal, estilo suave",9,598,22.21,51.0,22.31,5.0
"Tortilla, Sakwavikaviki (Hopi), maíz azul",10,276,7.83,1.4,58.12,3.4
"Aderezo para ensaladas, sin grasa, aderezo ranch",0,119,0.25,1.9,26.51,0.1
"WORTHINGTON Chuletas, sin preparar, enlatadas",13,103,19.4,1.0,4.1,2.8
"Snacks, 94% sin grasa, microondas, palomitas de maíz",19,402,10.72,6.1,76.04,13.6
"Bebidas en polvo, bebida con sabor a limonada.",18,380,0.0,1.0,97.9,0.0
"Pan, preparado según receta, integral.",10,278,8.4,5.4,51.4,6.0
"Alimentos para bebés, niños pequeños, carne y arroz, cena.",0,82,5.0,2.9,8.8,0.0
"Galletas caseras ARCHWAY, limón helado",6,430,4.41,17.0,64.78,0.7
"Pescado, calor seco, cocido, europeo, rodaballo",13,122,20.58,3.8,0.0,0.0
"PEPPERIDGE FARM, pan de trigo estilo ligero",12,256,0.01,1.9,45.6,7.5
"Pescado, calor seco, cocido, Pacífico, arenque",11,250,21.01,18.0,0.0,0.0
"Pescado, calor seco, cocido, agua dulce, tambor",13,153,22.49,6.3,0.0,0.0
"Papillas, junior, fideos con pollo, cena",0,55,2.37,1.2,8.79,0.9
"Keebler, galletas Buttercrisps, tostadas",6,495,5.5,24.0,65.0,1.8
"Puré de manzana, con sal, endulzado, enlatado",0,76,0.18,0.2,19.91,1.2
"Sopa, Caldo De Pollo SWANSON 99% Sin Grasa",0,4,0.54,0.2,0.14,0.0
"Muelle, con sal, escurrido, hervido, cocido",0,20,1.83,0.6,2.93,0.0
"Nueces, sin pelar, crudas, europeas, castañas",12,213,2.42,2.3,45.54,8.1
"Galletas, regulares, sándwich de mantequilla de maní",6,478,8.8,21.0,65.6,1.9
"Pan de marca holandesa, carne de cerdo y ternera, pollo.",1,273,12.0,23.0,3.93,0.3
"Bebidas, Diet Cran Cherry, OCEAN SPRAY",0,4,0.21,0.0,0.7,0.6
"Bebida alcohólica, dulce, postre, vino.",0,160,0.2,0.0,13.69,0.0
"Pavo, cocido a fuego lento, cocido, menudillos, entero",7,173,26.44,6.6,0.0,0.0
"Aderezo para ensaladas, regular, aderezo César",3,542,2.17,58.0,3.3,0.5
"Pescado crudo, Atlántico y Pacífico, fletán",13,91,18.56,1.3,0.0,0.0
"Arroz, TÍO BEN'S, seco, sancochado, integral",18,370,7.6,2.8,78.68,3.5
"WENDY'S, el mejor sándwich de pollo a la parrilla",14,179,14.73,5.0,18.88,1.1
"Papillas, coladas, manzana holandesa, postre",0,75,0.2,0.4,19.74,1.4
"Papillas, coladas, melocotón melba, postre",0,60,0.2,0.0,16.5,0.0
"Papillas, junior, pastel de durazno, postre",0,67,0.3,0.0,18.3,0.7
"Ganso canadiense, crudo, sin piel, carne de pechuga",13,133,24.31,4.0,0.0,0.0
"PEPPERIDGE FARM, pan de avena de granja",10,275,0.01,4.1,50.7,3.0
"PEPPERIDGE FARM, panecillos para hamburguesa con sésamo",10,280,0.01,4.1,49.9,3.1
"Rollitos, integrales, hamburguesa o hot dog",10,269,12.38,4.4,44.93,6.1
"Pastel de pollo, plato principal preparado y congelado",14,204,5.11,12.0,19.21,1.1
"Bebidas, Cran Granada, OCEAN SPRAY",0,47,0.07,0.0,12.56,0.6
"Galleta, con glaseado o cobertura, chocolate",6,507,4.5,24.0,67.87,2.3
"Pasta, con sal añadida, enriquecida, cocida",10,157,5.8,0.9,30.59,1.8
"Sopa, condensada, enlatada, cebada con champiñones",0,61,1.5,1.8,9.6,0.0
"Pomelo, todas las zonas, rosado y rojo, crudo",0,42,0.77,0.1,10.66,1.6
"MURRAY, Grahams bañados en dulce de azúcar, SIN AZÚCAR",6,483,5.7,28.0,63.3,3.8
"Glaseados, listos para comer, cremosos, vainilla",18,418,0.0,16.0,67.89,0.0
"KASHI, plato principal congelado, pollo a la florentina",0,106,7.9,3.4,11.0,1.8
"Galletas, preparadas comercialmente, brownies",6,405,4.8,16.0,63.9,2.1
"Champiñones, sólidos escurridos, en lata, paja",0,32,3.83,0.7,4.64,2.5
"SUNSHINE, galletas saladas picantes y picantes, CHEEZ-IT",6,513,8.3,26.0,61.2,2.9
"Moluscos, crudos, especies mixtas, sepia",13,79,16.24,0.7,0.82,0.0
